date_key,full_date,day_of_week,day_of_month,month,month_name,quarter,year,is_weekend
20250208,2025-02-08,6,8,2,February,1,2025,true
20250209,2025-02-09,7,9,2,February,1,2025,true
20250210,2025-02-10,1,10,2,February,1,2025,false
20250211,2025-02-11,2,11,2,February,1,2025,false
20250212,2025-02-12,3,12,2,February,1,2025,false
20250213,2025-02-13,4,13,2,February,1,2025,false
20250214,2025-02-14,5,14,2,February,1,2025,false
20250215,2025-02-15,6,15,2,February,1,2025,true
20250216,2025-02-16,7,16,2,February,1,2025,true
20250217,2025-02-17,1,17,2,February,1,2025,false
20250218,2025-02-18,2,18,2,February,1,2025,false
20250219,2025-02-19,3,19,2,February,1,2025,false
20250220,2025-02-20,4,20,2,February,1,2025,false
20250221,2025-02-21,5,21,2,February,1,2025,false
20250222,2025-02-22,6,22,2,February,1,2025,true
20250223,2025-02-23,7,23,2,February,1,2025,true
20250224,2025-02-24,1,24,2,February,1,2025,false
20250225,2025-02-25,2,25,2,February,1,2025,false
20250226,2025-02-26,3,26,2,February,1,2025,false
20250227,2025-02-27,4,27,2,February,1,2025,false
20250228,2025-02-28,5,28,2,February,1,2025,false
20250301,2025-03-01,6,1,3,March,1,2025,true
20250302,2025-03-02,7,2,3,March,1,2025,true
20250303,2025-03-03,1,3,3,March,1,2025,false
20250304,2025-03-04,2,4,3,March,1,2025,false
20250305,2025-03-05,3,5,3,March,1,2025,false
20250306,2025-03-06,4,6,3,March,1,2025,false
20250307,2025-03-07,5,7,3,March,1,2025,false
20250308,2025-03-08,6,8,3,March,1,2025,true
20250309,2025-03-09,7,9,3,March,1,2025,true
20250310,2025-03-10,1,10,3,March,1,2025,false
20250311,2025-03-11,2,11,3,March,1,2025,false
20250312,2025-03-12,3,12,3,March,1,2025,false
20250313,2025-03-13,4,13,3,March,1,2025,false
20250314,2025-03-14,5,14,3,March,1,2025,false
20250315,2025-03-15,6,15,3,March,1,2025,true
20250316,2025-03-16,7,16,3,March,1,2025,true
20250317,2025-03-17,1,17,3,March,1,2025,false
20250318,2025-03-18,2,18,3,March,1,2025,false
20250319,2025-03-19,3,19,3,March,1,2025,false
20250320,2025-03-20,4,20,3,March,1,2025,false
20250321,2025-03-21,5,21,3,March,1,2025,false
20250322,2025-03-22,6,22,3,March,1,2025,true
20250323,2025-03-23,7,23,3,March,1,2025,true
20250324,2025-03-24,1,24,3,March,1,2025,false
20250325,2025-03-25,2,25,3,March,1,2025,false
20250326,2025-03-26,3,26,3,March,1,2025,false
20250327,2025-03-27,4,27,3,March,1,2025,false
20250328,2025-03-28,5,28,3,March,1,2025,false
20250329,2025-03-29,6,29,3,March,1,2025,true
20250330,2025-03-30,7,30,3,March,1,2025,true
20250331,2025-03-31,1,31,3,March,1,2025,false
20250401,2025-04-01,2,1,4,April,2,2025,false
20250402,2025-04-02,3,2,4,April,2,2025,false
20250403,2025-04-03,4,3,4,April,2,2025,false
20250404,2025-04-04,5,4,4,April,2,2025,false
20250405,2025-04-05,6,5,4,April,2,2025,true
20250406,2025-04-06,7,6,4,April,2,2025,true
20250407,2025-04-07,1,7,4,April,2,2025,false
20250408,2025-04-08,2,8,4,April,2,2025,false
20250409,2025-04-09,3,9,4,April,2,2025,false
20250410,2025-04-10,4,10,4,April,2,2025,false
20250411,2025-04-11,5,11,4,April,2,2025,false
20250412,2025-04-12,6,12,4,April,2,2025,true
20250413,2025-04-13,7,13,4,April,2,2025,true
20250414,2025-04-14,1,14,4,April,2,2025,false
20250415,2025-04-15,2,15,4,April,2,2025,false
20250416,2025-04-16,3,16,4,April,2,2025,false
20250417,2025-04-17,4,17,4,April,2,2025,false
20250418,2025-04-18,5,18,4,April,2,2025,false
20250419,2025-04-19,6,19,4,April,2,2025,true
20250420,2025-04-20,7,20,4,April,2,2025,true
20250421,2025-04-21,1,21,4,April,2,2025,false
20250422,2025-04-22,2,22,4,April,2,2025,false
20250423,2025-04-23,3,23,4,April,2,2025,false
20250424,2025-04-24,4,24,4,April,2,2025,false
20250425,2025-04-25,5,25,4,April,2,2025,false
20250426,2025-04-26,6,26,4,April,2,2025,true
20250427,2025-04-27,7,27,4,April,2,2025,true
20250428,2025-04-28,1,28,4,April,2,2025,false
20250429,2025-04-29,2,29,4,April,2,2025,false
20250430,2025-04-30,3,30,4,April,2,2025,false
20250501,2025-05-01,4,1,5,May,2,2025,false
20250502,2025-05-02,5,2,5,May,2,2025,false
20250503,2025-05-03,6,3,5,May,2,2025,true
20250504,2025-05-04,7,4,5,May,2,2025,true
20250505,2025-05-05,1,5,5,May,2,2025,false
20250506,2025-05-06,2,6,5,May,2,2025,false
20250507,2025-05-07,3,7,5,May,2,2025,false
20250508,2025-05-08,4,8,5,May,2,2025,false
20250509,2025-05-09,5,9,5,May,2,2025,false
20250510,2025-05-10,6,10,5,May,2,2025,true
20250511,2025-05-11,7,11,5,May,2,2025,true
20250512,2025-05-12,1,12,5,May,2,2025,false
20250513,2025-05-13,2,13,5,May,2,2025,false
20250514,2025-05-14,3,14,5,May,2,2025,false
20250515,2025-05-15,4,15,5,May,2,2025,false
20250516,2025-05-16,5,16,5,May,2,2025,false
20250517,2025-05-17,6,17,5,May,2,2025,true
20250518,2025-05-18,7,18,5,May,2,2025,true
20250519,2025-05-19,1,19,5,May,2,2025,false
20250520,2025-05-20,2,20,5,May,2,2025,false
20250521,2025-05-21,3,21,5,May,2,2025,false
20250522,2025-05-22,4,22,5,May,2,2025,false
20250523,2025-05-23,5,23,5,May,2,2025,false
20250524,2025-05-24,6,24,5,May,2,2025,true
20250525,2025-05-25,7,25,5,May,2,2025,true
20250526,2025-05-26,1,26,5,May,2,2025,false
20250527,2025-05-27,2,27,5,May,2,2025,false
20250528,2025-05-28,3,28,5,May,2,2025,false
20250529,2025-05-29,4,29,5,May,2,2025,false
20250530,2025-05-30,5,30,5,May,2,2025,false
20250531,2025-05-31,6,31,5,May,2,2025,true
20250601,2025-06-01,7,1,6,June,2,2025,true
20250602,2025-06-02,1,2,6,June,2,2025,false
20250603,2025-06-03,2,3,6,June,2,2025,false
20250604,2025-06-04,3,4,6,June,2,2025,false
20250605,2025-06-05,4,5,6,June,2,2025,false
20250606,2025-06-06,5,6,6,June,2,2025,false
20250607,2025-06-07,6,7,6,June,2,2025,true
20250608,2025-06-08,7,8,6,June,2,2025,true
20250609,2025-06-09,1,9,6,June,2,2025,false
20250610,2025-06-10,2,10,6,June,2,2025,false
20250611,2025-06-11,3,11,6,June,2,2025,false
20250612,2025-06-12,4,12,6,June,2,2025,false
20250613,2025-06-13,5,13,6,June,2,2025,false
20250614,2025-06-14,6,14,6,June,2,2025,true
20250615,2025-06-15,7,15,6,June,2,2025,true
20250616,2025-06-16,1,16,6,June,2,2025,false
20250617,2025-06-17,2,17,6,June,2,2025,false
20250618,2025-06-18,3,18,6,June,2,2025,false
20250619,2025-06-19,4,19,6,June,2,2025,false
20250620,2025-06-20,5,20,6,June,2,2025,false
20250621,2025-06-21,6,21,6,June,2,2025,true
20250622,2025-06-22,7,22,6,June,2,2025,true
20250623,2025-06-23,1,23,6,June,2,2025,false
20250624,2025-06-24,2,24,6,June,2,2025,false
20250625,2025-06-25,3,25,6,June,2,2025,false
20250626,2025-06-26,4,26,6,June,2,2025,false
20250627,2025-06-27,5,27,6,June,2,2025,false
20250628,2025-06-28,6,28,6,June,2,2025,true
20250629,2025-06-29,7,29,6,June,2,2025,true
20250630,2025-06-30,1,30,6,June,2,2025,false
20250701,2025-07-01,2,1,7,July,3,2025,false
20250702,2025-07-02,3,2,7,July,3,2025,false
20250703,2025-07-03,4,3,7,July,3,2025,false
20250704,2025-07-04,5,4,7,July,3,2025,false
20250705,2025-07-05,6,5,7,July,3,2025,true
20250706,2025-07-06,7,6,7,July,3,2025,true
20250707,2025-07-07,1,7,7,July,3,2025,false
20250708,2025-07-08,2,8,7,July,3,2025,false
20250709,2025-07-09,3,9,7,July,3,2025,false
20250710,2025-07-10,4,10,7,July,3,2025,false
20250711,2025-07-11,5,11,7,July,3,2025,false
20250712,2025-07-12,6,12,7,July,3,2025,true
20250713,2025-07-13,7,13,7,July,3,2025,true
20250714,2025-07-14,1,14,7,July,3,2025,false
20250715,2025-07-15,2,15,7,July,3,2025,false
20250716,2025-07-16,3,16,7,July,3,2025,false
20250717,2025-07-17,4,17,7,July,3,2025,false
20250718,2025-07-18,5,18,7,July,3,2025,false
20250719,2025-07-19,6,19,7,July,3,2025,true
20250720,2025-07-20,7,20,7,July,3,2025,true
20250721,2025-07-21,1,21,7,July,3,2025,false
20250722,2025-07-22,2,22,7,July,3,2025,false
20250723,2025-07-23,3,23,7,July,3,2025,false
20250724,2025-07-24,4,24,7,July,3,2025,false
20250725,2025-07-25,5,25,7,July,3,2025,false
20250726,2025-07-26,6,26,7,July,3,2025,true
20250727,2025-07-27,7,27,7,July,3,2025,true
20250728,2025-07-28,1,28,7,July,3,2025,false
20250729,2025-07-29,2,29,7,July,3,2025,false
20250730,2025-07-30,3,30,7,July,3,2025,false
20250731,2025-07-31,4,31,7,July,3,2025,false
20250801,2025-08-01,5,1,8,August,3,2025,false
20250802,2025-08-02,6,2,8,August,3,2025,true
20250803,2025-08-03,7,3,8,August,3,2025,true
20250804,2025-08-04,1,4,8,August,3,2025,false
20250805,2025-08-05,2,5,8,August,3,2025,false
20250806,2025-08-06,3,6,8,August,3,2025,false
20250807,2025-08-07,4,7,8,August,3,2025,false
20250808,2025-08-08,5,8,8,August,3,2025,false
20250809,2025-08-09,6,9,8,August,3,2025,true
20250810,2025-08-10,7,10,8,August,3,2025,true
20250811,2025-08-11,1,11,8,August,3,2025,false
20250812,2025-08-12,2,12,8,August,3,2025,false
20250813,2025-08-13,3,13,8,August,3,2025,false
20250814,2025-08-14,4,14,8,August,3,2025,false
20250815,2025-08-15,5,15,8,August,3,2025,false
20250816,2025-08-16,6,16,8,August,3,2025,true
20250817,2025-08-17,7,17,8,August,3,2025,true
20250818,2025-08-18,1,18,8,August,3,2025,false
20250819,2025-08-19,2,19,8,August,3,2025,false
20250820,2025-08-20,3,20,8,August,3,2025,false
20250821,2025-08-21,4,21,8,August,3,2025,false
20250822,2025-08-22,5,22,8,August,3,2025,false
20250823,2025-08-23,6,23,8,August,3,2025,true
20250824,2025-08-24,7,24,8,August,3,2025,true
20250825,2025-08-25,1,25,8,August,3,2025,false
20250826,2025-08-26,2,26,8,August,3,2025,false
20250827,2025-08-27,3,27,8,August,3,2025,false
20250828,2025-08-28,4,28,8,August,3,2025,false
20250829,2025-08-29,5,29,8,August,3,2025,false
20250830,2025-08-30,6,30,8,August,3,2025,true
20250831,2025-08-31,7,31,8,August,3,2025,true
20250901,2025-09-01,1,1,9,September,3,2025,false
20250902,2025-09-02,2,2,9,September,3,2025,false
20250903,2025-09-03,3,3,9,September,3,2025,false
20250904,2025-09-04,4,4,9,September,3,2025,false
20250905,2025-09-05,5,5,9,September,3,2025,false
20250906,2025-09-06,6,6,9,September,3,2025,true
20250907,2025-09-07,7,7,9,September,3,2025,true
20250908,2025-09-08,1,8,9,September,3,2025,false
20250909,2025-09-09,2,9,9,September,3,2025,false
20250910,2025-09-10,3,10,9,September,3,2025,false
20250911,2025-09-11,4,11,9,September,3,2025,false
20250912,2025-09-12,5,12,9,September,3,2025,false
20250913,2025-09-13,6,13,9,September,3,2025,true
20250914,2025-09-14,7,14,9,September,3,2025,true
20250915,2025-09-15,1,15,9,September,3,2025,false
20250916,2025-09-16,2,16,9,September,3,2025,false
20250917,2025-09-17,3,17,9,September,3,2025,false
20250918,2025-09-18,4,18,9,September,3,2025,false
20250919,2025-09-19,5,19,9,September,3,2025,false
20250920,2025-09-20,6,20,9,September,3,2025,true
20250921,2025-09-21,7,21,9,September,3,2025,true
20250922,2025-09-22,1,22,9,September,3,2025,false
20250923,2025-09-23,2,23,9,September,3,2025,false
20250924,2025-09-24,3,24,9,September,3,2025,false
20250925,2025-09-25,4,25,9,September,3,2025,false
20250926,2025-09-26,5,26,9,September,3,2025,false
20250927,2025-09-27,6,27,9,September,3,2025,true
20250928,2025-09-28,7,28,9,September,3,2025,true
20250929,2025-09-29,1,29,9,September,3,2025,false
20250930,2025-09-30,2,30,9,September,3,2025,false
20251001,2025-10-01,3,1,10,October,4,2025,false
20251002,2025-10-02,4,2,10,October,4,2025,false
20251003,2025-10-03,5,3,10,October,4,2025,false
20251004,2025-10-04,6,4,10,October,4,2025,true
20251005,2025-10-05,7,5,10,October,4,2025,true
20251006,2025-10-06,1,6,10,October,4,2025,false
20251007,2025-10-07,2,7,10,October,4,2025,false
20251008,2025-10-08,3,8,10,October,4,2025,false
20251009,2025-10-09,4,9,10,October,4,2025,false
20251010,2025-10-10,5,10,10,October,4,2025,false
20251011,2025-10-11,6,11,10,October,4,2025,true
20251012,2025-10-12,7,12,10,October,4,2025,true
20251013,2025-10-13,1,13,10,October,4,2025,false
20251014,2025-10-14,2,14,10,October,4,2025,false
20251015,2025-10-15,3,15,10,October,4,2025,false
20251016,2025-10-16,4,16,10,October,4,2025,false
20251017,2025-10-17,5,17,10,October,4,2025,false
20251018,2025-10-18,6,18,10,October,4,2025,true
20251019,2025-10-19,7,19,10,October,4,2025,true
20251020,2025-10-20,1,20,10,October,4,2025,false
20251021,2025-10-21,2,21,10,October,4,2025,false
20251022,2025-10-22,3,22,10,October,4,2025,false
20251023,2025-10-23,4,23,10,October,4,2025,false
20251024,2025-10-24,5,24,10,October,4,2025,false
20251025,2025-10-25,6,25,10,October,4,2025,true
20251026,2025-10-26,7,26,10,October,4,2025,true
20251027,2025-10-27,1,27,10,October,4,2025,false
20251028,2025-10-28,2,28,10,October,4,2025,false
20251029,2025-10-29,3,29,10,October,4,2025,false
20251030,2025-10-30,4,30,10,October,4,2025,false
20251031,2025-10-31,5,31,10,October,4,2025,false
20251101,2025-11-01,6,1,11,November,4,2025,true
20251102,2025-11-02,7,2,11,November,4,2025,true
20251103,2025-11-03,1,3,11,November,4,2025,false
20251104,2025-11-04,2,4,11,November,4,2025,false
20251105,2025-11-05,3,5,11,November,4,2025,false
20251106,2025-11-06,4,6,11,November,4,2025,false
20251107,2025-11-07,5,7,11,November,4,2025,false
20251108,2025-11-08,6,8,11,November,4,2025,true
20251109,2025-11-09,7,9,11,November,4,2025,true
20251110,2025-11-10,1,10,11,November,4,2025,false
20251111,2025-11-11,2,11,11,November,4,2025,false
20251112,2025-11-12,3,12,11,November,4,2025,false
20251113,2025-11-13,4,13,11,November,4,2025,false
20251114,2025-11-14,5,14,11,November,4,2025,false
20251115,2025-11-15,6,15,11,November,4,2025,true
20251116,2025-11-16,7,16,11,November,4,2025,true
20251117,2025-11-17,1,17,11,November,4,2025,false
20251118,2025-11-18,2,18,11,November,4,2025,false
20251119,2025-11-19,3,19,11,November,4,2025,false
20251120,2025-11-20,4,20,11,November,4,2025,false
20251121,2025-11-21,5,21,11,November,4,2025,false
20251122,2025-11-22,6,22,11,November,4,2025,true
20251123,2025-11-23,7,23,11,November,4,2025,true
20251124,2025-11-24,1,24,11,November,4,2025,false
20251125,2025-11-25,2,25,11,November,4,2025,false
20251126,2025-11-26,3,26,11,November,4,2025,false
20251127,2025-11-27,4,27,11,November,4,2025,false
20251128,2025-11-28,5,28,11,November,4,2025,false
20251129,2025-11-29,6,29,11,November,4,2025,true
20251130,2025-11-30,7,30,11,November,4,2025,true
20251201,2025-12-01,1,1,12,December,4,2025,false
20251202,2025-12-02,2,2,12,December,4,2025,false
20251203,2025-12-03,3,3,12,December,4,2025,false
20251204,2025-12-04,4,4,12,December,4,2025,false
20251205,2025-12-05,5,5,12,December,4,2025,false
20251206,2025-12-06,6,6,12,December,4,2025,true
20251207,2025-12-07,7,7,12,December,4,2025,true
20251208,2025-12-08,1,8,12,December,4,2025,false
20251209,2025-12-09,2,9,12,December,4,2025,false
20251210,2025-12-10,3,10,12,December,4,2025,false
20251211,2025-12-11,4,11,12,December,4,2025,false
20251212,2025-12-12,5,12,12,December,4,2025,false
20251213,2025-12-13,6,13,12,December,4,2025,true
20251214,2025-12-14,7,14,12,December,4,2025,true
20251215,2025-12-15,1,15,12,December,4,2025,false
20251216,2025-12-16,2,16,12,December,4,2025,false
20251217,2025-12-17,3,17,12,December,4,2025,false
20251218,2025-12-18,4,18,12,December,4,2025,false
20251219,2025-12-19,5,19,12,December,4,2025,false
20251220,2025-12-20,6,20,12,December,4,2025,true
20251221,2025-12-21,7,21,12,December,4,2025,true
20251222,2025-12-22,1,22,12,December,4,2025,false
20251223,2025-12-23,2,23,12,December,4,2025,false
20251224,2025-12-24,3,24,12,December,4,2025,false
20251225,2025-12-25,4,25,12,December,4,2025,false
20251226,2025-12-26,5,26,12,December,4,2025,false
20251227,2025-12-27,6,27,12,December,4,2025,true
20251228,2025-12-28,7,28,12,December,4,2025,true
20251229,2025-12-29,1,29,12,December,4,2025,false
20251230,2025-12-30,2,30,12,December,4,2025,false
20251231,2025-12-31,3,31,12,December,4,2025,false
20260101,2026-01-01,4,1,1,January,1,2026,false
20260102,2026-01-02,5,2,1,January,1,2026,false
20260103,2026-01-03,6,3,1,January,1,2026,true
20260104,2026-01-04,7,4,1,January,1,2026,true
20260105,2026-01-05,1,5,1,January,1,2026,false
20260106,2026-01-06,2,6,1,January,1,2026,false
20260107,2026-01-07,3,7,1,January,1,2026,false
20260108,2026-01-08,4,8,1,January,1,2026,false
20260109,2026-01-09,5,9,1,January,1,2026,false
20260110,2026-01-10,6,10,1,January,1,2026,true
20260111,2026-01-11,7,11,1,January,1,2026,true
20260112,2026-01-12,1,12,1,January,1,2026,false
20260113,2026-01-13,2,13,1,January,1,2026,false
20260114,2026-01-14,3,14,1,January,1,2026,false
20260115,2026-01-15,4,15,1,January,1,2026,false
20260116,2026-01-16,5,16,1,January,1,2026,false
20260117,2026-01-17,6,17,1,January,1,2026,true
20260118,2026-01-18,7,18,1,January,1,2026,true
20260119,2026-01-19,1,19,1,January,1,2026,false
20260120,2026-01-20,2,20,1,January,1,2026,false
20260121,2026-01-21,3,21,1,January,1,2026,false
20260122,2026-01-22,4,22,1,January,1,2026,false
20260123,2026-01-23,5,23,1,January,1,2026,false
20260124,2026-01-24,6,24,1,January,1,2026,true
20260125,2026-01-25,7,25,1,January,1,2026,true
20260126,2026-01-26,1,26,1,January,1,2026,false
20260127,2026-01-27,2,27,1,January,1,2026,false
20260128,2026-01-28,3,28,1,January,1,2026,false
20260129,2026-01-29,4,29,1,January,1,2026,false
20260130,2026-01-30,5,30,1,January,1,2026,false
20260131,2026-01-31,6,31,1,January,1,2026,true
20260201,2026-02-01,7,1,2,February,1,2026,true
20260202,2026-02-02,1,2,2,February,1,2026,false
20260203,2026-02-03,2,3,2,February,1,2026,false
20260204,2026-02-04,3,4,2,February,1,2026,false
20260205,2026-02-05,4,5,2,February,1,2026,false
20260206,2026-02-06,5,6,2,February,1,2026,false
20260207,2026-02-07,6,7,2,February,1,2026,true
20260208,2026-02-08,7,8,2,February,1,2026,true
20260209,2026-02-09,1,9,2,February,1,2026,false
20260210,2026-02-10,2,10,2,February,1,2026,false
20260211,2026-02-11,3,11,2,February,1,2026,false
20260212,2026-02-12,4,12,2,February,1,2026,false
20260213,2026-02-13,5,13,2,February,1,2026,false
20260214,2026-02-14,6,14,2,February,1,2026,true
20260215,2026-02-15,7,15,2,February,1,2026,true
20260216,2026-02-16,1,16,2,February,1,2026,false
20260217,2026-02-17,2,17,2,February,1,2026,false
20260218,2026-02-18,3,18,2,February,1,2026,false
20260219,2026-02-19,4,19,2,February,1,2026,false
20260220,2026-02-20,5,20,2,February,1,2026,false
20260221,2026-02-21,6,21,2,February,1,2026,true
20260222,2026-02-22,7,22,2,February,1,2026,true
20260223,2026-02-23,1,23,2,February,1,2026,false
20260224,2026-02-24,2,24,2,February,1,2026,false
20260225,2026-02-25,3,25,2,February,1,2026,false
20260226,2026-02-26,4,26,2,February,1,2026,false
20260227,2026-02-27,5,27,2,February,1,2026,false
20260228,2026-02-28,6,28,2,February,1,2026,true
20260301,2026-03-01,7,1,3,March,1,2026,true
20260302,2026-03-02,1,2,3,March,1,2026,false
20260303,2026-03-03,2,3,3,March,1,2026,false
20260304,2026-03-04,3,4,3,March,1,2026,false
20260305,2026-03-05,4,5,3,March,1,2026,false
20260306,2026-03-06,5,6,3,March,1,2026,false
20260307,2026-03-07,6,7,3,March,1,2026,true
20260308,2026-03-08,7,8,3,March,1,2026,true
20260309,2026-03-09,1,9,3,March,1,2026,false
20260310,2026-03-10,2,10,3,March,1,2026,false
20260311,2026-03-11,3,11,3,March,1,2026,false
20260312,2026-03-12,4,12,3,March,1,2026,false
20260313,2026-03-13,5,13,3,March,1,2026,false
20260314,2026-03-14,6,14,3,March,1,2026,true
20260315,2026-03-15,7,15,3,March,1,2026,true
20260316,2026-03-16,1,16,3,March,1,2026,false
20260317,2026-03-17,2,17,3,March,1,2026,false
20260318,2026-03-18,3,18,3,March,1,2026,false
20260319,2026-03-19,4,19,3,March,1,2026,false
20260320,2026-03-20,5,20,3,March,1,2026,false
20260321,2026-03-21,6,21,3,March,1,2026,true
20260322,2026-03-22,7,22,3,March,1,2026,true
20260323,2026-03-23,1,23,3,March,1,2026,false
20260324,2026-03-24,2,24,3,March,1,2026,false
20260325,2026-03-25,3,25,3,March,1,2026,false
20260326,2026-03-26,4,26,3,March,1,2026,false
20260327,2026-03-27,5,27,3,March,1,2026,false
20260328,2026-03-28,6,28,3,March,1,2026,true
20260329,2026-03-29,7,29,3,March,1,2026,true
20260330,2026-03-30,1,30,3,March,1,2026,false
20260331,2026-03-31,2,31,3,March,1,2026,false
20260401,2026-04-01,3,1,4,April,2,2026,false
20260402,2026-04-02,4,2,4,April,2,2026,false
20260403,2026-04-03,5,3,4,April,2,2026,false
20260404,2026-04-04,6,4,4,April,2,2026,true
20260405,2026-04-05,7,5,4,April,2,2026,true
20260406,2026-04-06,1,6,4,April,2,2026,false
20260407,2026-04-07,2,7,4,April,2,2026,false
20260408,2026-04-08,3,8,4,April,2,2026,false
20260409,2026-04-09,4,9,4,April,2,2026,false
20260410,2026-04-10,5,10,4,April,2,2026,false
20260411,2026-04-11,6,11,4,April,2,2026,true
20260412,2026-04-12,7,12,4,April,2,2026,true
20260413,2026-04-13,1,13,4,April,2,2026,false
20260414,2026-04-14,2,14,4,April,2,2026,false
20260415,2026-04-15,3,15,4,April,2,2026,false
20260416,2026-04-16,4,16,4,April,2,2026,false
20260417,2026-04-17,5,17,4,April,2,2026,false
20260418,2026-04-18,6,18,4,April,2,2026,true
20260419,2026-04-19,7,19,4,April,2,2026,true
20260420,2026-04-20,1,20,4,April,2,2026,false
20260421,2026-04-21,2,21,4,April,2,2026,false
20260422,2026-04-22,3,22,4,April,2,2026,false
20260423,2026-04-23,4,23,4,April,2,2026,false
20260424,2026-04-24,5,24,4,April,2,2026,false
20260425,2026-04-25,6,25,4,April,2,2026,true
20260426,2026-04-26,7,26,4,April,2,2026,true
20260427,2026-04-27,1,27,4,April,2,2026,false
20260428,2026-04-28,2,28,4,April,2,2026,false
20260429,2026-04-29,3,29,4,April,2,2026,false
20260430,2026-04-30,4,30,4,April,2,2026,false
20260501,2026-05-01,5,1,5,May,2,2026,false
20260502,2026-05-02,6,2,5,May,2,2026,true
20260503,2026-05-03,7,3,5,May,2,2026,true
20260504,2026-05-04,1,4,5,May,2,2026,false
20260505,2026-05-05,2,5,5,May,2,2026,false
20260506,2026-05-06,3,6,5,May,2,2026,false
20260507,2026-05-07,4,7,5,May,2,2026,false
20260508,2026-05-08,5,8,5,May,2,2026,false
20260509,2026-05-09,6,9,5,May,2,2026,true
20260510,2026-05-10,7,10,5,May,2,2026,true
20260511,2026-05-11,1,11,5,May,2,2026,false
20260512,2026-05-12,2,12,5,May,2,2026,false
20260513,2026-05-13,3,13,5,May,2,2026,false
20260514,2026-05-14,4,14,5,May,2,2026,false
20260515,2026-05-15,5,15,5,May,2,2026,false
20260516,2026-05-16,6,16,5,May,2,2026,true
20260517,2026-05-17,7,17,5,May,2,2026,true
20260518,2026-05-18,1,18,5,May,2,2026,false
20260519,2026-05-19,2,19,5,May,2,2026,false
20260520,2026-05-20,3,20,5,May,2,2026,false
20260521,2026-05-21,4,21,5,May,2,2026,false
20260522,2026-05-22,5,22,5,May,2,2026,false
20260523,2026-05-23,6,23,5,May,2,2026,true
20260524,2026-05-24,7,24,5,May,2,2026,true
20260525,2026-05-25,1,25,5,May,2,2026,false
20260526,2026-05-26,2,26,5,May,2,2026,false
20260527,2026-05-27,3,27,5,May,2,2026,false
20260528,2026-05-28,4,28,5,May,2,2026,false
20260529,2026-05-29,5,29,5,May,2,2026,false
20260530,2026-05-30,6,30,5,May,2,2026,true
20260531,2026-05-31,7,31,5,May,2,2026,true
20260601,2026-06-01,1,1,6,June,2,2026,false
20260602,2026-06-02,2,2,6,June,2,2026,false
20260603,2026-06-03,3,3,6,June,2,2026,false
20260604,2026-06-04,4,4,6,June,2,2026,false
20260605,2026-06-05,5,5,6,June,2,2026,false
20260606,2026-06-06,6,6,6,June,2,2026,true
20260607,2026-06-07,7,7,6,June,2,2026,true
20260608,2026-06-08,1,8,6,June,2,2026,false
20260609,2026-06-09,2,9,6,June,2,2026,false
20260610,2026-06-10,3,10,6,June,2,2026,false
20260611,2026-06-11,4,11,6,June,2,2026,false
20260612,2026-06-12,5,12,6,June,2,2026,false
20260613,2026-06-13,6,13,6,June,2,2026,true
20260614,2026-06-14,7,14,6,June,2,2026,true
20260615,2026-06-15,1,15,6,June,2,2026,false
20260616,2026-06-16,2,16,6,June,2,2026,false
20260617,2026-06-17,3,17,6,June,2,2026,false
20260618,2026-06-18,4,18,6,June,2,2026,false
20260619,2026-06-19,5,19,6,June,2,2026,false
